datetime,actual_conductivity,do_concentration,turbidity,chl-a_concentration,temperature
2019-02-22 16:20:00,95.37573,8.699418,62.66885,62.79681,29.93085
2019-02-22 16:30:00,95.10166,9.815466,42.29137,69.75413,29.97409
2019-02-22 16:40:00,94.77325,8.665739,75.79777,60.02177,29.89675
2019-02-22 16:50:00,94.75531,7.837404,33.52765,62.53207,29.87036
2019-02-22 17:00:00,95.27232,10.70294,46.58981,71.68272,30.02494
2019-02-22 17:10:00,95.52328,11.21565,74.78582,66.79137,30.09457
2019-02-22 17:20:00,95.34003,10.19461,60.48956,67.03694,30.04118
2019-02-22 17:30:00,95.2002,9.297822,47.09977,65.89325,29.98708
2019-02-22 17:40:00,95.27409,9.81468,45.04257,77.50718,30.00332
2019-02-22 17:50:00,95.4109,10.01628,37.47215,77.46587,30.01351
2019-02-22 18:00:00,95.42694,9.813569,83.41963,71.58109,30.01004
2019-02-22 18:10:00,95.35808,9.172997,79.31127,74.4805,29.97569
2019-02-22 18:20:00,95.39861,9.56354,50.81235,73.21597,29.99878
2019-02-22 18:30:00,95.28088,9.733439,39.15584,68.78379,29.96252
2019-02-22 18:40:00,95.57597,10.04913,53.431,80.41989,30.0496
2019-02-22 18:50:00,95.69883,10.35112,94.47755,76.06307,30.08733
2019-02-22 19:00:00,95.71018,10.74738,89.96615,72.27352,30.11359
2019-02-22 19:10:00,95.79724,10.59473,64.65652,77.30203,30.09579
2019-02-22 19:20:00,95.49564,9.331654,47.98424,68.83194,30.03503
2019-02-22 19:30:00,95.6199,9.0941,45.6454,71.64684,30.03295
2019-02-22 19:40:00,95.57814,9.777944,67.3767,73.32213,30.05018
2019-02-22 19:50:00,95.59184,9.265817,61.12244,73.95309,30.03752
2019-02-22 20:00:00,95.20468,8.537091,47.36537,65.05666,29.96239
2019-02-22 20:10:00,95.50003,8.745621,61.32457,69.25761,29.9974
2019-02-22 20:20:00,95.77277,8.890284,69.10656,66.85955,30.04196
2019-02-22 20:30:00,95.88114,8.687861,29.26402,61.55531,30.01992
2019-02-22 20:40:00,96.1797,8.644259,44.0263,62.76839,30.02429
2019-02-22 20:50:00,96.03944,8.732944,49.27309,62.83569,30.03857
2019-02-22 21:00:00,96.23679,8.209437,42.80218,64.86779,29.97159
2019-02-22 21:10:00,95.63654,8.295997,64.6369,66.41473,30.00241
2019-02-22 21:20:00,95.46182,10.33558,76.63712,69.19815,30.11458
2019-02-22 21:30:00,95.47182,10.39718,47.83407,68.03844,30.10156
2019-02-22 21:40:00,95.43003,10.03481,60.78014,67.08063,30.08247
2019-02-22 21:50:00,95.76057,9.919432,79.86911,67.71375,30.09833
2019-02-22 22:00:00,96.04566,9.18752,50.99441,63.22362,30.05705
2019-02-22 22:10:00,97.02706,9.232968,85.4642,65.95405,30.07554
2019-02-22 22:20:00,96.47669,8.294913,50.83601,61.90763,30.01949
